frame,local_costmap_resolution,local_costmap_width,local_costmap_height,local_costmap_origin_pos_x,local_costmap_origin_pos_y,local_costmap_origin_orientation_z,local_costmap_origin_orientation_w
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
None,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.700000,-1.650000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-2.250000,-1.700000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.800000,-2.075000,0.000000,1.000000
odom,0.025000,160,160,-1.450000,-2.550000,0.000000,1.000000
odom,0.025000,160,160,-1.450000,-2.550000,0.000000,1.000000
odom,0.025000,160,160,-1.450000,-2.550000,0.000000,1.000000
